model,precision,recall,f1,auc_roc,total_cost,fraud_loss,false_alarm_cost
xgboost_standard,0.9091518605430774,0.4374899177286659,0.5907209758222609,0.9338878543133526,1746210.0,1743500.0,2710.0
xgboost_cost_sensitive_spw50,0.17450507001448576,0.8744958864332957,0.2909510519536282,0.9407675467056231,645440.0,389000.0,256440.0
